cmf,constant,shard,n_trajectories,relative_nugget,nugget,sill,initial_slope,median_delta_seq_TV,n_TV
pFq_2_1_-1__0_0_0,log-2,"-1,-1,-1,1,1,1,-1",39,0.05394830088697659,0.0024295262206599165,0.045034341781214786,0.11118433314810573,nan,0
pFq_2_1_-1__0_0_0,log-2,"-1,-1,-1,1,1,1,1",65,0.06776497991845125,0.0026037401107309637,0.03842309278132037,0.12196269508456598,nan,0
pFq_2_1_-1__0_0_0,log-2,"-1,1,1,-1,1,1,-1",45,0.04867373111747876,0.0015298875689458515,0.03143148334474955,0.19146642530902463,nan,0
pFq_2_1_-1__0_0_0,log-2,"1,-1,-1,1,-1,-1,1",40,0.014930064098544886,0.0006018219913847305,0.04030940439454545,0.16103940771117395,nan,0
